state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
fl,2011,lower,H 1173,Enforcement/County & Municipal Codes & Ordinances,37:39.0,08:44.0,bill,
fl,2011,lower,H 1175,Energy Economic Zones,37:39.0,08:44.0,bill,
fl,2011,lower,H 1177,Elderly Inmates,37:39.0,08:44.0,bill,
fl,2011,lower,H 1179,Abortion/Public Funding/Construction of Rights,37:39.0,15:27.2,bill,
fl,2011,lower,H 1181,Required Instruction in the Public Schools,37:39.0,08:44.0,bill,
fl,2011,lower,H 1183,Early Voting,37:39.0,08:44.0,bill,
fl,2011,lower,H 1185,Pain-management Clinics,37:39.0,08:44.0,bill,
fl,2011,lower,H 1187,Civil Remedies Against Insurers,37:39.0,15:27.2,bill,
fl,2011,lower,H 1189,Property Taxation,37:39.0,08:44.1,bill,
fl,2011,lower,H 119,Health Care,41:54.8,20:42.5,bill,
fl,2011,lower,H 1191,Foreclosure Proceedings,37:39.0,08:44.1,bill,
fl,2011,lower,H 1193,Health Insurance,37:39.0,15:27.3,bill,
fl,2011,lower,H 1195,Condominium/Cooperative/Homeowners' Associations,37:39.0,15:27.3,bill,
fl,2011,lower,H 1197,Surgical Technology,37:39.0,08:44.1,bill,
fl,2011,lower,H 1199,Corporate Income Tax,44:21.4,08:44.1,bill,
fl,2011,lower,H 1201,Public Health,44:21.4,08:44.1,bill,
fl,2011,lower,H 1203,Decennial Census,44:21.4,08:44.2,bill,
fl,2011,lower,H 1205,Veterinary Practice,44:21.4,08:44.2,bill,
fl,2011,lower,H 1207,Cigarette Products of Nonsettling Manufacturers,44:21.4,08:44.2,bill,
fl,2011,lower,H 1209,Taxation,44:21.4,08:44.2,bill,
fl,2011,lower,H 121,Pub. Rec./Donor Information,41:54.8,20:42.8,bill,
fl,2011,lower,H 1211,State Financial Information,44:21.4,08:44.2,bill,
fl,2011,lower,H 1213,Domestic Violence and Stalking,44:21.4,08:44.2,bill,
fl,2011,lower,H 1215,Consumer Protection,44:21.4,08:44.2,bill,
fl,2011,lower,H 1217,Persons with Disabilities,44:21.4,15:27.3,bill,
fl,2011,lower,H 1219,Bedding Materials,44:21.4,08:44.2,bill,
fl,2011,lower,H 1221,Unemployment Assistance/Oil Spill,44:21.4,15:27.4,bill,
fl,2011,lower,H 1223,Corporate Income Taxes,44:21.4,08:44.3,bill,
fl,2011,lower,H 1225,Education Savings Account Program,44:21.4,08:44.3,bill,
fl,2011,lower,H 1227,Surplus Lines Insurance,44:21.4,15:27.4,bill,
fl,2011,lower,H 1229,Title Insurance,44:21.4,15:27.4,bill,
fl,2011,lower,H 123,Driver's License Fees for Disabled Veterans,41:54.8,20:42.9,bill,
fl,2011,lower,H 1231,Telecommunications,44:21.4,15:27.4,bill,
fl,2011,lower,H 1233,Juvenile Justice,44:21.4,15:27.4,bill,
fl,2011,lower,H 1235,Captive Insurance,44:21.4,24:57.1,bill,
fl,2011,lower,H 1237,Legal and Medical Referral Service Advertising,42:54.7,15:27.4,bill,
fl,2011,lower,H 1239,Jack Nicklaus Golf Trail of Florida,44:21.4,13:46.3,bill,
fl,2011,lower,H 1241,Independent Living,44:21.4,15:27.4,bill,
fl,2011,lower,H 1243,Citizens Property Insurance Corporation,44:21.4,15:27.4,bill,
fl,2011,lower,H 1245,Division of Emergency Management,44:21.4,15:27.4,bill,
fl,2011,lower,H 1247,Parental Notice of Abortion,44:21.4,15:27.4,bill,
fl,2011,lower,H 1249,Career Education,44:21.4,16:49.5,bill,
fl,2011,lower,H 125,Animal Cruelty,41:54.8,20:43.1,bill,
fl,2011,lower,H 1251,Relief/Lopez & Guzman/Miami-Dade County,44:21.4,08:44.4,bill,
fl,2011,lower,H 1253,Domestic Violence,44:21.4,08:44.4,bill,
fl,2011,lower,H 1255,Education Accountability,44:21.4,22:13.1,bill,
fl,2011,lower,H 1257,Elected Officials,44:21.4,08:44.4,bill,
fl,2011,lower,H 1259,Constitutional Amendments/Presentation to Electors,44:21.4,08:44.4,bill,
fl,2011,lower,H 1261,Election Ballots,44:21.4,15:27.5,bill,
fl,2011,lower,H 1263,Trucking,44:21.4,15:27.5,bill,
fl,2011,lower,H 1265,Tanning Facilities,44:21.4,08:44.4,bill,
fl,2011,lower,H 1267,Economic Development,44:21.4,08:44.4,bill,
fl,2011,lower,H 1269,Revitalizing Municipalities,44:21.4,08:44.5,bill,
fl,2011,lower,H 127,Rental Property Foreclosure,41:54.8,20:43.2,bill,
fl,2011,lower,H 1271,Dentistry,44:21.4,15:27.5,bill,
fl,2011,lower,H 1273,Application of Foreign Law,44:21.5,08:44.5,bill,
fl,2011,lower,H 1275,Enterprise Zones,44:21.5,08:44.5,bill,
fl,2011,lower,H 1277,Sexual Offenses,44:21.5,15:27.6,bill,
fl,2011,lower,H 1279,Costs of Prosecution,44:21.5,15:27.6,bill,
fl,2011,lower,H 1281,Energy Efficiency,44:21.5,15:27.6,bill,
fl,2011,lower,H 1283,Unemployment Compensation,44:21.5,08:44.5,bill,
fl,2011,lower,H 1285,Legislature,44:21.5,08:44.5,bill,
fl,2011,lower,H 1287,Tax Increase Prevention & Reconciliation Act,44:21.5,08:44.5,bill,
fl,2011,lower,H 1289,Medicaid Eligibility,44:21.5,15:27.6,bill,
fl,2011,lower,H 129,Intimidation of a Judge,41:54.8,20:43.3,bill,
fl,2011,lower,H 1291,State Employee Bonus Initiative,44:21.5,08:44.5,bill,
fl,2011,lower,H 1293,Brevard County,42:57.2,15:27.6,bill,
fl,2011,lower,H 1295,Assisted Living Communities,42:57.2,08:44.6,bill,
fl,2011,lower,H 1297,Criminal History Records of Juveniles,47:41.1,08:44.6,bill,
fl,2011,lower,H 1299,Pub. Rec./Juvenile History Records,47:41.1,08:44.6,bill,
fl,2011,lower,H 13,Onsite Sewage Treatment and Disposal Systems,41:54.7,20:33.3,bill,
fl,2011,lower,H 1301,Economic Development,47:41.1,15:27.6,bill,
fl,2011,lower,H 1303,Consumer Protection,47:41.1,15:27.6,bill,
fl,2011,lower,H 1305,Gilchrist County,47:41.1,08:44.6,bill,
fl,2011,lower,H 1307,"City of Mount Dora, Lake County",47:41.1,15:27.6,bill,
fl,2011,lower,H 1309,Economic Recovery/Deepwater Horizon Disaster,47:41.1,15:27.7,bill,
fl,2011,lower,H 131,Homelessness,41:54.8,20:43.6,bill,
fl,2011,lower,H 1311,Walton County,47:41.1,15:27.7,bill,
fl,2011,lower,H 1313,Public-Private Partnerships,47:41.1,13:19.9,bill,
fl,2011,lower,H 1315,Relief/Melvin and Alma Colindres/City of Miami,47:41.1,15:27.7,bill,
fl,2011,lower,H 1317,Nassau County,47:41.1,15:27.7,bill,
fl,2011,lower,H 1319,Certificates/Licenses/Health Care Practitioners,47:41.1,15:27.7,bill,
fl,2011,lower,H 1321,Miami-Dade County Home Rule Charter,47:41.1,15:27.7,bill,
fl,2011,lower,H 1323,Pawnbroker and Secondhand Dealer Transactions,47:41.1,08:44.7,bill,
fl,2011,lower,H 1325,Pub. Rec./Pawnbroker/Secondhand Dealer Transaction,47:41.1,08:44.7,bill,
fl,2011,lower,H 1327,Public School Food Service Enhancement,47:41.1,08:44.7,bill,
fl,2011,lower,H 1329,McKay Scholarships/Students with Disabilities,47:41.1,15:27.7,bill,
fl,2011,lower,H 133,Children of Incarcerated Parents,41:54.8,20:43.7,bill,
fl,2011,lower,H 1331,School Choice,47:41.1,15:27.7,bill,
fl,2011,lower,H 1333,Licensed Security Officers,47:41.2,08:44.8,bill,
fl,2011,lower,H 1335,Weapons or Firearms,47:41.2,15:06.2,bill,
fl,2011,lower,H 1337,Jurisdiction of the Courts,47:41.2,08:44.8,bill,
fl,2011,lower,H 1339,Relief/Thomas and Karen Brandi/City of Haines City,47:41.2,08:44.8,bill,
fl,2011,lower,H 1341,Public School Education,47:41.2,08:44.8,bill,
fl,2011,lower,H 1343,Community Redevelopment,47:41.2,08:44.8,bill,
fl,2011,lower,H 1345,Charlotte County Airport Authority/Charlotte Co.,47:41.2,15:27.8,bill,
fl,2011,lower,H 1347,Relief/Wohlgemuth/Pasco County Sheriff's Office,47:41.2,08:44.8,bill,
fl,2011,lower,H 1349,Renewable Energy,47:41.2,08:44.8,bill,
fl,2011,lower,H 135,Procurement of Professional Services,41:54.8,20:43.8,bill,
fl,2011,lower,H 1351,"South Broward Drainage District, Broward County",47:41.2,15:27.8,bill,
fl,2011,lower,H 1353,Highway Safety and Motor Vehicles,47:41.2,15:27.8,bill,
fl,2011,lower,H 1355,Elections,47:41.2,15:27.8,bill,
fl,2011,lower,H 1357,Energy Security,47:41.2,08:44.9,bill,
fl,2011,lower,H 1359,Board of Governors/Student Body President,47:41.2,15:27.8,bill,
fl,2011,lower,H 1361,Tour-guide Services,47:41.2,59:41.6,bill,
fl,2011,lower,H 1363,Transportation,47:41.2,15:27.9,bill,
fl,2011,lower,H 1365,"Tax on Sales, Use, and other Transactions",47:41.2,08:44.9,bill,
fl,2011,lower,H 1367,"Drugs, Cosmetics, and Certain Devices",47:41.2,08:44.9,bill,
fl,2011,lower,H 1369,Criminal History Records,47:41.2,15:27.9,bill,
fl,2011,lower,H 137,Prostate Cancer Awareness Program,41:54.8,20:44.4,bill,
fl,2011,lower,H 1371,Billboard Regulation,47:41.2,15:27.9,bill,
fl,2011,lower,H 1373,Condominiums,47:41.2,15:27.9,bill,
fl,2011,lower,H 1375,Greenhouse Gases,47:41.2,15:27.9,bill,
fl,2011,lower,H 1377,Uniform Traffic Control,47:41.2,08:45.0,bill,
fl,2011,lower,H 1379,Judiciary,51:54.2,15:27.9,bill,
fl,2011,lower,H 1381,Technology Seed Capital Fund,51:54.2,08:45.0,bill,
fl,2011,lower,H 1383,Pub. Rec./Technology Seed Capital Fund,51:54.2,08:45.0,bill,
fl,2011,lower,H 1385,Deaf and Hard-of-Hearing Children,51:54.2,08:45.0,bill,
fl,2011,lower,H 1387,Economic Development,51:54.2,08:45.0,bill,
fl,2011,lower,H 1389,Utility Right-of-way Relocation,51:54.2,15:28.0,bill,
fl,2011,lower,H 139,Child Care Facilities,41:54.8,20:44.9,bill,
fl,2011,lower,H 1391,Firefighters' Relief/Pension Fund/Escambia Co.,51:54.2,08:45.0,bill,
fl,2011,lower,H 1393,Sovereign Immunity,51:54.2,15:28.0,bill,
fl,2011,lower,H 1395,Fighting or Baiting Animals,51:54.2,08:45.1,bill,
fl,2011,lower,H 1397,Abortions,51:54.2,15:28.0,bill,
fl,2011,lower,H 1399,Debt Buyers,51:54.2,08:45.1,bill,
fl,2011,lower,H 1401,Federal Intrusion into State's Clean Water Program,51:54.2,15:28.0,bill,
fl,2011,lower,H 1403,Medicaid Managed Care,51:54.2,08:45.1,bill,
fl,2011,lower,H 1405,Retirement,51:54.2,15:28.0,bill,
fl,2011,lower,H 1407,Medical Use of Cannabis,51:54.2,08:45.1,bill,
fl,2011,lower,H 1409,Public Swimming Pools and Spas,51:54.2,15:28.1,bill,
fl,2011,lower,H 141,Tourist Development Tax,41:54.9,20:45.0,bill,
fl,2011,lower,H 1411,Motor Vehicle Personal Injury Protection Insurance,51:54.2,15:28.1,bill,
fl,2011,lower,H 1413,Department of Veterans' Affairs,51:54.2,08:45.1,bill,
fl,2011,lower,H 1415,Destination Resorts,51:54.2,08:45.1,bill,
fl,2011,lower,H 1417,Trust Funds/Destination Resort Trust Fund/DOR,51:54.2,08:45.1,bill,
fl,2011,lower,H 1419,Pub. Rec./Destination Resort Commission,51:54.2,08:45.2,bill,
fl,2011,lower,H 1421,Foreclosure Debt Relief,51:54.2,08:45.2,bill,
fl,2011,lower,H 1423,Relief/Eddie Weekley/Charlotte Williams/APD,51:54.2,08:45.2,bill,
fl,2011,lower,H 1425,State Minimum Wage,51:54.2,15:28.1,bill,
fl,2011,lower,H 1427,Growth Management,51:54.2,08:45.2,bill,
fl,2011,lower,H 1429,Repeal Amendment,51:54.2,08:45.2,bill,
fl,2011,lower,H 143,Economic Development,41:54.9,20:45.4,bill,
fl,2011,lower,H 1431,Autism,51:54.2,08:45.2,bill,
fl,2011,lower,H 1433,Credit Counseling Services,53:21.4,08:45.2,bill,
fl,2011,lower,H 1435,911 Calls,53:21.4,08:45.2,bill,
fl,2011,lower,H 1437,Professional Practices Involving Animals,53:21.4,15:28.1,bill,
fl,2011,lower,H 1439,Motor Vehicle Insurance,53:21.4,08:45.3,bill,
fl,2011,lower,H 1441,Relief/Darling and Smith/State of Florida,53:21.4,08:45.3,bill,
fl,2011,lower,H 1443,Relief/Maricelly Lopez/City of North Miami,53:21.4,08:45.3,bill,
fl,2011,lower,H 1445,Educational Programs Beyond the Secondary Level,53:21.4,15:28.2,bill,
fl,2011,lower,H 1447,Class Size Requirements,48:48.3,08:45.3,bill,
fl,2011,lower,H 1449,Assault Battery/ Law Enforcement or Firefighters,48:48.3,08:45.3,bill,
fl,2011,lower,H 145,Sexual Exploitation,41:54.9,20:45.5,bill,
fl,2011,lower,H 1451,Dan Marino Foundation Florida Vocational College,48:48.3,15:28.2,bill,
fl,2011,lower,H 1453,Construction Liens and Bonds,48:48.3,08:45.3,bill,
fl,2011,lower,H 1455,Specialty License Plates,48:48.3,08:45.3,bill,
fl,2011,lower,H 1457,Municipal Water and Sewer Utilities,48:48.3,08:45.3,bill,
fl,2011,lower,H 1459,False Personation,48:48.3,08:45.3,bill,
fl,2011,lower,H 1461,Uniform Traffic Control,48:48.3,08:45.3,bill,
fl,2011,lower,H 1463,Crisis Stabilization Units,12:24.4,15:28.2,bill,
fl,2011,lower,H 1465,"East Lake Tarpon Community, Pinellas County",12:24.4,08:45.4,bill,
fl,2011,lower,H 1467,Convention Development Taxes,12:24.4,08:45.4,bill,
fl,2011,lower,H 1469,Educational Enhancement Funding,12:24.4,08:45.4,bill,
fl,2011,lower,H 147,Contamination Notification,41:54.9,20:45.7,bill,
fl,2011,lower,H 1471,Religious Freedom,52:32.5,15:28.2,bill,
fl,2011,lower,H 1473,Pub. Rec./Florida Health Choices Program,53:11.3,15:28.2,bill,
fl,2011,lower,H 1475,Alimony,56:32.6,15:28.2,bill,
fl,2011,lower,H 1477,Trespass,55:21.0,08:45.4,bill,
fl,2011,lower,H 1479,Land Application of Septage,54:31.8,15:28.3,bill,
fl,2011,lower,H 1481,Substance Abuse Education/Treatment Intervention,57:07.9,08:45.4,bill,
fl,2011,lower,H 1483,High School Graduation Rates,56:42.5,08:45.4,bill,
fl,2011,lower,H 1485,Water Management Districts,56:42.5,08:45.4,bill,
fl,2011,lower,H 1487,Relief/Carl Abbott/Palm Beach County School Board,56:42.5,15:28.3,bill,
fl,2011,lower,H 1489,"Sebring Airport Authority, Highlands County",51:22.1,15:28.3,bill,
fl,2011,lower,H 149,Traffic Control Signals,41:54.9,20:46.0,bill,
fl,2011,lower,H 15,Assault or Battery on Utility Workers,41:54.7,20:33.4,bill,
fl,2011,lower,H 151,Transition-to-Adulthood Services,41:54.9,20:46.1,bill,
fl,2011,lower,H 153,Relief/Dennis Gay/DOT,41:54.9,20:46.2,bill,
fl,2011,lower,H 155,Privacy of Firearm Owners,41:54.9,20:46.6,bill,
fl,2011,lower,H 157,Educ. and Training Opportunities/Public Employees,41:54.9,20:46.7,bill,
fl,2011,lower,H 159,Public Service Commission,41:54.9,20:46.8,bill,
fl,2011,lower,H 161,Tax Deeds,41:54.9,20:46.9,bill,
fl,2011,lower,H 163,Pub. Rec./Photos & Recordings/Killing of a Person,41:54.9,20:46.9,bill,
fl,2011,lower,H 165,Ice Skating Rinks,41:54.9,20:47.0,bill,
fl,2011,lower,H 167,Onsite Sewage Treatment and Disposal Systems,41:54.9,20:47.1,bill,
fl,2011,lower,H 169,Vessel Safety,41:54.9,20:47.2,bill,
fl,2011,lower,H 17,Military Veterans Convicted of Criminal Offenses,41:54.7,20:33.7,bill,
fl,2011,lower,H 171,Veterans' Affairs,41:54.9,20:47.4,bill,
fl,2011,lower,H 173,Sovereignty Submerged Lands,41:54.9,20:47.7,bill,
fl,2011,lower,H 175,Barbering,41:54.9,20:47.7,bill,
fl,2011,lower,H 177,Motor Vehicles,41:54.9,20:47.8,bill,
fl,2011,lower,H 179,Relief/Kirby/University of South Florida,41:54.9,20:47.9,bill,
fl,2011,lower,H 181,Driving Without a Valid Driver License,41:54.9,20:48.0,bill,
fl,2011,lower,H 183,"Estate, Inheritance, and Other Death Taxes",41:54.9,20:48.1,bill,
fl,2011,lower,H 185,Relief/Angela Isham/City of Ft. Lauderdale,41:54.9,20:48.2,bill,
fl,2011,lower,H 187,Issuance of Licenses/Certifications/Registrations,41:54.9,20:48.4,bill,
fl,2011,lower,H 189,Free Trade Agreements,41:54.9,20:48.5,bill,
fl,2011,lower,H 19,Compensation of County Officials,41:54.7,20:33.9,bill,
fl,2011,lower,H 191,Health and Human Services Contracts,41:54.9,20:48.6,bill,
fl,2011,lower,H 193,Administrative Expunction of Arrest Records,41:54.9,20:48.7,bill,
fl,2011,lower,H 195,Relief/Femminella/Palm Beach Co. Sheriff's Office,41:54.9,20:48.8,bill,
fl,2011,lower,H 197,Employment of the Homeless,41:54.9,20:48.9,bill,
fl,2011,lower,H 199,Blood Establishments,41:54.9,20:49.0,bill,
fl,2011,lower,H 201,Negligence,41:54.9,20:49.2,bill,
fl,2011,lower,H 203,Resisting Officer or Other Person Without Violence,41:54.9,20:49.2,bill,
fl,2011,lower,H 205,Illegal or Undocumented Aliens,41:54.9,20:49.3,bill,
fl,2011,lower,H 207,Term Limits,41:54.9,20:49.4,bill,
fl,2011,lower,H 209,Fire Equipment,41:54.9,20:49.5,bill,
fl,2011,lower,H 21,Health Insurance,41:54.7,20:33.9,bill,
fl,2011,lower,H 211,Florida Clean Indoor Air Act,41:54.9,20:49.6,bill,
fl,2011,lower,H 213,Bullying of School Children,41:54.9,20:49.6,bill,
fl,2011,lower,H 215,Emergency Management,41:54.9,20:49.8,bill,
fl,2011,lower,H 217,Prohibition of Simulated Gambling Devices,41:54.9,20:50.0,bill,
fl,2011,lower,H 219,Renewable Energy,41:54.9,20:50.1,bill,
fl,2011,lower,H 221,Sustainable & Renewable Energy Policy TF/DEP,41:54.9,20:50.2,bill,
fl,2011,lower,H 223,Water and Wastewater Utilities,41:54.9,20:50.3,bill,
fl,2011,lower,H 225,Dentistry and Dental Hygiene,41:54.9,20:50.4,bill,
fl,2011,lower,H 227,Federal Write-in Absentee Ballot,41:54.9,20:50.7,bill,
fl,2011,lower,H 229,"City of Tampa, Hillsborough County",41:54.9,20:50.8,bill,
fl,2011,lower,H 23,Relief/William Dillon/State of Florida,41:54.7,20:34.0,bill,
fl,2011,lower,H 231,City Pension Fund/City of Tampa/Hillsborough Co.,41:55.0,20:51.1,bill,
fl,2011,lower,H 233,"City of Tampa, Hillsborough County",41:55.0,20:51.3,bill,
fl,2011,lower,H 235,Lewd or Lascivious Offenses,41:55.0,20:51.4,bill,
fl,2011,lower,H 237,Enforcement of Immigration Laws,41:55.0,20:51.4,bill,
fl,2011,lower,H 239,Water Quality,41:55.0,20:51.9,bill,
fl,2011,lower,H 241,Wage Protection,41:55.0,20:52.1,bill,
fl,2011,lower,H 243,Tangible Personal Property Taxation,41:55.0,20:52.3,bill,
fl,2011,lower,H 245,Florida Kidcare Program,41:55.0,20:52.4,bill,
fl,2011,lower,H 247,Disabled Parking Permits,41:55.0,20:52.5,bill,
fl,2011,lower,H 249,Public Corruption,41:55.0,20:52.6,bill,
fl,2011,lower,H 25,Mammogram Reports,41:54.7,20:34.1,bill,
fl,2011,lower,H 251,Sexual Offenses,41:55.0,20:53.1,bill,
fl,2011,lower,H 253,Limited Liability Companies,41:55.0,20:53.4,bill,
